,Unnamed: 0,지역명,규모구분,연도,월,평당 분양가격
0,0,서울,전체,2015,10,1770.0
1,1,서울,전용면적 60㎡이하,2015,10,1712.7272727272727
2,2,서울,전용면적 60㎡초과 85㎡이하,2015,10,1782.4242424242425
3,3,서울,전용면적 85㎡초과 102㎡이하,2015,10,1733.6363636363637
4,4,서울,전용면적 102㎡초과,2015,10,1781.5151515151515
5,5,인천,전체,2015,10,958.4848484848485
6,6,인천,전용면적 60㎡이하,2015,10,1056.969696969697
7,7,인천,전용면적 60㎡초과 85㎡이하,2015,10,945.1515151515152
8,8,인천,전용면적 85㎡초과 102㎡이하,2015,10,1074.2424242424242
9,9,인천,전용면적 102㎡초과,2015,10,1032.7272727272727
10,10,경기,전체,2015,10,950.909090909091
11,11,경기,전용면적 60㎡이하,2015,10,947.2727272727274
12,12,경기,전용면적 60㎡초과 85㎡이하,2015,10,981.5151515151516
13,13,경기,전용면적 85㎡초과 102㎡이하,2015,10,1059.3939393939395
14,14,경기,전용면적 102㎡초과,2015,10,1115.1515151515152
15,15,부산,전체,2015,10,943.0303030303031
16,16,부산,전용면적 60㎡이하,2015,10,893.939393939394
17,17,부산,전용면적 60㎡초과 85㎡이하,2015,10,908.7878787878789
18,18,부산,전용면적 85㎡초과 102㎡이하,2015,10,896.0606060606061
19,19,부산,전용면적 102㎡초과,2015,10,1060.6060606060607
20,20,대구,전체,2015,10,812.7272727272727
21,21,대구,전용면적 60㎡이하,2015,10,792.1212121212121
22,22,대구,전용면적 60㎡초과 85㎡이하,2015,10,816.969696969697
23,23,대구,전용면적 85㎡초과 102㎡이하,2015,10,774.8484848484849
24,24,대구,전용면적 102㎡초과,2015,10,787.2727272727274
25,25,광주,전체,2015,10,733.3333333333334
26,26,광주,전용면적 60㎡이하,2015,10,682.7272727272727
27,27,광주,전용면적 60㎡초과 85㎡이하,2015,10,739.0909090909091
30,30,대전,전체,2015,10,743.6363636363636
31,31,대전,전용면적 60㎡이하,2015,10,783.3333333333334
32,32,대전,전용면적 60㎡초과 85㎡이하,2015,10,735.7575757575758
33,33,대전,전용면적 85㎡초과 102㎡이하,2015,10,745.7575757575758
35,35,울산,전체,2015,10,925.1515151515152
36,36,울산,전용면적 60㎡이하,2015,10,733.939393939394
37,37,울산,전용면적 60㎡초과 85㎡이하,2015,10,921.2121212121212
38,38,울산,전용면적 85㎡초과 102㎡이하,2015,10,894.2424242424242
39,39,울산,전용면적 102㎡초과,2015,10,815.1515151515152
40,40,세종,전체,2015,10,800.6060606060606
41,41,세종,전용면적 60㎡이하,2015,10,779.3939393939395
42,42,세종,전용면적 60㎡초과 85㎡이하,2015,10,805.1515151515152
43,43,세종,전용면적 85㎡초과 102㎡이하,2015,10,801.2121212121212
44,44,세종,전용면적 102㎡초과,2015,10,815.7575757575758
45,45,강원,전체,2015,10,656.6666666666667
46,46,강원,전용면적 60㎡이하,2015,10,692.7272727272727
47,47,강원,전용면적 60㎡초과 85㎡이하,2015,10,670.3030303030304
48,48,강원,전용면적 85㎡초과 102㎡이하,2015,10,624.5454545454546
49,49,강원,전용면적 102㎡초과,2015,10,657.8787878787879
